assumed_margin_on_good_account,implied_cutoff,approval_rate,bad_rate_of_approved,net_cost
0.06,0.05113636329770088,0.08226263974637077,0.02636916835699797,13628838.7
0.1,0.07655502110719681,0.18705156015351243,0.04192685102586976,20781873.587500002
0.15,0.16701030731201172,0.44885699983313865,0.0724907063197026,25869786.23
0.2,0.19957081973552704,0.5611546804605373,0.09158489443948856,29912157.095000006
0.3,0.19957081973552704,0.5611546804605373,0.09158489443948856,35300158.19500001
0.45,0.2324510986199936,0.7223427331887202,0.11781011781011781,39828255.89
0.6,0.2324510986199936,0.7223427331887202,0.11781011781011781,43862138.39
