age_band,accounts,mean_pd,total_ead,expected_loss,observed_default_rate,el_rate_on_ead,share_of_ead,share_of_el,el_concentration
21-25,775,0.27273877862108525,38382981.6,5577646.0180653585,0.24387096774193548,0.14531560044479083,0.06991343988960089,0.08493275066143594,1.2148272320107805
26-30,1427,0.20948437988345617,130517358.05,15015027.460765513,0.2025227750525578,0.1150423796887874,0.23773341950533075,0.22863903147839873,0.9617454371966071
31-35,1141,0.19995088001641917,121749771.0,12990898.643056197,0.18930762489044697,0.10670162692179681,0.22176352491545817,0.1978169198520388,0.8920173862110624
36-40,971,0.22205684792891098,99139629.05,12177102.809900364,0.22760041194644695,0.12282780283310293,0.18057983531598557,0.1854249684153799,1.0268309752908797
41-50,1209,0.2318142636109202,115112600.75,14006761.635327818,0.23573200992555832,0.12167878706647862,0.20967412008114425,0.21328581801254137,1.017225291943514
51-60,412,0.24913930759699018,36981980.1,4982369.923119304,0.25728155339805825,0.13472426056276265,0.06736155803799687,0.07586827507746852,1.126284446014049
60+,58,0.24421818753511743,7122875.5,921515.5219219645,0.3448275862068966,0.12937408802413639,0.012974102254483555,0.014032236502736786,1.0815574154957477
