cutoff_rule,threshold,flagged_rate,precision,recall,f1,specificity,accuracy,tp,fp,tn,fn
risk_appetite_15%_bad_rate,0.4470588266849518,0.15384615384615385,0.6182212581344902,0.4298642533936652,0.5071174377224199,0.9245768159417185,0.8151176372434507,570.0,352.0,4315.0,756.0
f1_optimal,0.2750000059604645,0.25379609544468545,0.5009861932938856,0.5746606334841629,0.5353003161222339,0.8373687593743304,0.7792424495244452,762.0,759.0,3908.0,564.0
cost_minimising,0.05113636329770088,0.920740864341732,0.23686118158753172,0.9856711915535445,0.3819403857393337,0.09770730662095564,0.29417653929584514,1307.0,4211.0,456.0,19.0
naive_0.5,0.5,0.12431169697980977,0.6630872483221476,0.37254901960784315,0.47706422018348627,0.9462181272766231,0.819289170699149,494.0,251.0,4416.0,832.0
