model,val_auc,roc_auc,gini,pr_auc,ks,brier,log_loss,ece,mean_predicted_pd,observed_default_rate,prevalence_ratio,at_cutoff_threshold,at_cutoff_flagged_rate,at_cutoff_precision,at_cutoff_recall,at_cutoff_f1,at_cutoff_specificity,at_cutoff_accuracy,at_cutoff_tp,at_cutoff_fp,at_cutoff_tn,at_cutoff_fn,brier_uncalibrated,ece_uncalibrated
Baseline (prior),0.5,0.5,0.0,0.22125813449023862,0.0,0.1723029724121381,0.5284957340545927,0.0,0.22125813449023862,0.22125813449023862,1.0,0.4470588266849518,0.0,0.0,0.0,0.0,1.0,0.7787418655097614,0,0,4667,1326,0.1723029724121381,0.0
Logistic regression,0.7811614781232498,0.7642876025985215,0.5285752051970429,0.516758830410028,0.40894768020771627,0.13805273092206086,0.4413804093943722,0.011734401973371621,0.22377296109772649,0.22125813449023862,1.0113660300593323,0.4470588266849518,0.1294843984648757,0.645618556701031,0.3778280542986425,0.47668886774500474,0.9410756374544675,0.8164525279492741,501,275,4392,825,0.13817269429001913,0.01344838768841302
Decision tree,0.7808454050308624,0.7671010732588267,0.5342021465176534,0.5146704359785668,0.4079666578437674,0.1375150945798179,0.43722936786982963,0.01606660870909827,0.22513069482028988,0.22125813449023862,1.0175024540407218,0.4470588266849518,0.14416819622893376,0.6145833333333334,0.4004524886877828,0.4849315068493151,0.9286479537175916,0.811780410478892,531,333,4334,795,0.1377822326355197,0.01680994703833661
Random forest,0.7937471176105391,0.7751533423113606,0.5503066846227211,0.5348916244592291,0.4120104866459119,0.13538303356449213,0.43235210718114403,0.01714817049263963,0.22552912962079188,0.22125813449023862,1.0193032230900496,0.4470588266849518,0.1341565159352578,0.654228855721393,0.39668174962292607,0.49389671361502346,0.9404328262266981,0.8201234773902887,526,278,4389,800,0.13488364769108946,0.013821700582251687
Gradient boosting (LightGBM),0.7917574407257918,0.7779697216197551,0.5559394432395102,0.5664134112805115,0.42962687539125355,0.1351288609755009,0.4302373405771746,0.013611927924126051,0.22439519614248754,0.22125813449023862,1.0141782884479094,0.4470588266849518,0.14316702819956617,0.6363636363636364,0.4117647058823529,0.5,0.9331476323119777,0.8177874186550976,546,312,4355,780,0.13509254571161286,0.014572689635475583
Gradient boosting (XGBoost),0.7958398091151213,0.7778595161754769,0.5557190323509538,0.5515713231412431,0.427127053949928,0.13513681736174887,0.43085333298730266,0.017355260848354547,0.22545326402058052,0.22125813449023862,1.01896034032831,0.4470588266849518,0.15384615384615385,0.6182212581344902,0.4298642533936652,0.5071174377224199,0.9245768159417185,0.8151176372434507,570,352,4315,756,0.13471254706382751,0.013101611801713884
