limit_band,accounts,mean_pd,total_ead,expected_loss,observed_default_rate,el_rate_on_ead,share_of_ead,share_of_el,el_concentration
Q1 lowest,1510,0.33446124273248856,40190149.65,8206141.964130843,0.31059602649006623,0.20418291635126676,0.0732051418253901,0.12495777019094866,1.7069534608511465
Q2,965,0.2584391263110465,53349928.95,9031198.703422463,0.27253886010362693,0.16928230048603396,0.09717528173372293,0.13752119535146076,1.415186999182494
Q3,1240,0.20343916974360904,107191331.39999999,14369280.661997376,0.20241935483870968,0.13405263722657126,0.19524576758049947,0.2188060209803216,1.1206697266311203
Q4,1069,0.16372533006911194,124082458.3,13399583.079508092,0.14873713751169318,0.10798934243478067,0.22601244426803357,0.20404009952818788,0.9027825887596341
Q5 highest,1209,0.14013583915067468,224193327.75,20665117.603097744,0.152191894127378,0.09217543541769273,0.408361364592354,0.31467491394908104,0.7705795435942004
