sex_label,accounts,mean_pd,total_ead,expected_loss,observed_default_rate,el_rate_on_ead,share_of_ead,share_of_el,el_concentration
Female,3661,0.21602698984616556,336636515.9,38419162.642704815,0.20677410543567332,0.11412654548182607,0.6131732303729974,0.5850219161964333,0.9540891337356011
Male,2332,0.24025154436043183,212370680.15,27252159.3694517,0.2439965694682676,0.12832354894848558,0.38682676962700263,0.4149780838035667,1.0727749897032952
