feature_set,model,n_features,roc_auc,gini,pr_auc,ks,brier
behavioural,Logistic regression,28,0.7642876025985215,0.5285752051970429,0.516758830410028,0.40894768020771627,0.13805273092206086
behavioural,Gradient boosting (XGBoost),28,0.7778595161754769,0.5557190323509538,0.5515713231412431,0.427127053949928,0.13513681736174887
origination,Logistic regression,5,0.6217143991977303,0.2434287983954606,0.2968504344370555,0.18406458362217826,0.16710276125978504
origination,Gradient boosting (XGBoost),5,0.6266599089076055,0.25331981781521096,0.31532189082713324,0.20034493334509718,0.16636176451281337
