education_label,accounts,mean_pd,total_ead,expected_loss,observed_default_rate,el_rate_on_ead,share_of_ead,share_of_el,el_concentration
Graduate school,2090,0.18957731945179865,221358809.5,23090709.215672377,0.17942583732057416,0.10431348663208445,0.40319837534486536,0.3516102388101464,0.8720527172496805
High school,1044,0.25598665765197626,76068531.85,10432378.670015393,0.26340996168582376,0.1371444724421271,0.13855652967264961,0.15885744873666835,1.1465172309957619
Other,90,0.10621742208994098,9942028.85,591392.1576816902,0.05555555555555555,0.05948405165628645,0.018109104801414193,0.009005333524003319,0.49728209222689274
University,2769,0.2448953322659162,241637825.85,31556841.96878706,0.24232574936800289,0.13059562118546955,0.4401359901810707,0.480526978929182,1.0917693386798353
